policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211000057,KOR,Annual,"3rd Compresensive Acton Plan for Climate Change Policy Republic of Korea (2005)","3rd Compresensive Acton Plan for Climate Change Policy",Country,,"Republic of Korea",,,"Strategic planning, Climate strategy, Political & non-binding climate strategy",General,"The Plan is described in Korea's National Communications to UNFCCC.","Energy service demand reduction and resource efficiency, Renewables, Energy efficiency, Other low-carbon technologies and fuel switch, Non-energy use",,Superseded,2005,,2007,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/kornc02.pdf,,,,,,
220205782,KOR,Annual,"Framework Act on Agriculture, Rural Community and Food Industry Republic of Korea (2015)","Framework Act on Agriculture, Rural Community and Food Industry",Country,,"Republic of Korea",,,"Policy support, Strategic planning","Agriculture and forestry","The purpose of this Act is to provide for basic matters concerning directions to be sought by agriculture, rural communities, and the food industry and directions of national policy in order to pursue the sustainable development of agriculture and rural communities","Non-energy use",,"In force",2015,,,,Mitigation,https://climate-laws.org/geographies/south-korea/laws/framework-act-on-agriculture-rural-community-and-food-industry,01/01/2022,,,,,
211105429,KOR,Annual,"8th Basic Plan for Long-term Electricity Supply and Demand Republic of Korea (2017)","8th Basic Plan for Long-term Electricity Supply and Demand",Country,,"Republic of Korea",,,"Policy support, Strategic planning, Target, Renewable energy target","Electricity and heat","This policy includes electricity generation capacity targets for all energy sources for 2031. Targets are:
-Total 58.5GW renewable capacity by 2030:
-2.1GW hydropower
-17.7 GW wind
-33.5GW solar power
-1.7GW biomass
-0.3GW waste capacity
-39.9GW Coal
-20.4GW Nuclear
-44.3GW Gas
-6.1GW Other","Energy service demand reduction and resource efficiency, Renewables",,"In force",2017,2017,2031,,Mitigation,https://policy.asiapacificenergy.org/sites/default/files/8th%20Basic%20Plan%20for%20Long-term%20Electricity%20Supply%20and%20Demand%20%282017%20-%202031%29.pdf,01/10/2021,,,,,
211000405,KOR,Annual,"Carbon Neutral Program Republic of Korea (2008)","Carbon Neutral Program",Country,,"Republic of Korea",,,"Public voluntary schemes","Electricity and heat, Industry, Transport, Buildings, Agriculture and forestry",,"Energy service demand reduction and resource efficiency, Renewables, Energy efficiency, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",2008,,,Unknown,Mitigation,,,,,,,
211000966,KOR,Annual,"Energy Service Companies (ESCOs) Republic of Korea (1992)","Energy Service Companies (ESCOs)",Country,,"Republic of Korea",,,Loans,"Industry, Buildings, Appliances, Heating and cooling, Hot water and cooking",,"Energy efficiency",,"In force",1992,,,Unknown,Mitigation,https://www.iea.org/policies/1356-esco-program,,,,,,
220205905,KOR,Annual,"Nationally Determined Contribution - NDC Republic of Korea (2021)","Nationally Determined Contribution - NDC",Country,,"Republic of Korea",,,"Target, GHG reduction target, Political & non-binding GHG reduction target",General,"South Korea submitted its updated NDC to the UNFCCC on December 23rd, 2021, pledging to reduce 2030 emissions by 40% below 2018 levels, including reductions from land-use, land-use change and forestry (LULUCF) and international credits.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,"In force",2021,,2030,,Mitigation,https://climateactiontracker.org/climate-target-update-tracker/south-korea/,08/04/2022,,,,,
220205910,KOR,Annual,"2050 Carbon Neutral Forest Sector Promotion Strategy Republic of Korea (2021)","2050 Carbon Neutral Forest Sector Promotion Strategy",Country,,"Republic of Korea",,,"Target, GHG reduction target","Agriculture and forestry","Planting three billion trees over 30 years and thereby increase the annual LULUCF removals by 34 MtCO2e.","Non-energy use",,"In force",2021,2021,2050,High,Mitigation,"https://www.foodnavigator-asia.com/Article/2021/03/17/Strengthening-food-supplies-South-Korea-pledges-tech-supply-chain-and-sustainability-advances-in-new-plan
https://www.korea.kr/news/pressReleaseView.do?newsId=156490876",27/04/2022,,,,,
211003284,KOR,Annual,"Mandatory Installation of BEMS (Building Energy Management System) in Newly Constructed Public Buildings Republic of Korea (2017)","Mandatory Installation of BEMS (Building Energy Management System) in Newly Constructed Public Buildings",Country,,"Republic of Korea",,,"Regulatory Instruments, Codes and standards, Building codes and standards","Buildings, Heating and cooling","""A newly constructed public building of which total floor space exceeds 10,000 m2 is obliged to install BEMS (Building Energy Management System) when it applies for a building permit since 2017. The building should obtain verification of the BEMS installation from the KEA (Korea Energy Agency)."" (For reference, see below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy efficiency",,"In force",2017,,,Unknown,Mitigation,https://www.iea.org/policies/6500-mandatory-installation-of-bems-building-eenergy-management-system-in-newly-constructed-public-buildings?country=Korea&qs=korea,,,,,,
211001000,KOR,Annual,"Energy efficiency Building Policy Council - Building Code Upgrade Strategy Republic of Korea (2006)","Energy efficiency Building Policy Council - Building Code Upgrade Strategy",Country,,"Republic of Korea",,,"Building codes and standards","Buildings, Construction",,"Energy efficiency",,"In force",2006,,,Unknown,Mitigation,http://www3.cec.org/islandora-gb/islandora/object/islandora:1213/datastream/OBJ-EN/view,,,,,,
211002880,KOR,Annual,"The Jeju Smart Grid Demonstration Project Republic of Korea (2009)","The Jeju Smart Grid Demonstration Project",Country,,"Republic of Korea",,,"Demonstration project","Electricity and heat",,"Energy efficiency, Renewables",,"In force",2009,,,Unknown,Mitigation,https://www.gsma.com/iot/wp-content/uploads/2012/09/cl_jeju_09_121.pdf,,,,,,
230206122,KOR,Annual,"Carbon Neutrality Bill Republic of Korea (2021)","Carbon Neutrality Bill",Country,,"Republic of Korea",,,"Target, GHG reduction target",General,"This bill enshrines the Republic of Korea's- 2050 climate neutrality target into law","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,"In force",2021,2021,2050,,Mitigation,https://www.law.go.kr/LSW/lsInfoP.do?efYd=20220325&lsiSeq=235581#0000,25/01/2023,,,,,
211001210,KOR,Annual,"Framework Act on Low Carbon, Green Growth Republic of Korea (2010)","Framework Act on Low Carbon, Green Growth",Country,,"Republic of Korea",,,"Climate strategy, Formal & legally binding climate strategy, Policy support, Institutional creation, Strategic planning, Vehicle fuel-economy and emissions standards, Target, GHG reduction target, Formal & legally binding GHG reduction target",General,"Reduction of GHG emissions by 27%-30% by 2020 relative to a ""business as usual""of 2005. ""The purpose of this Act (Framework Act) is to promote the development of the national economy by laying down the foundation necessary for low carbon, green growth and by utilizing green technology and green industries as new engines for growth ...fulfill its responsibility in international society through the realization of a low-carbon society."" Article 14 of the Framework Act elaborates upon Presidential Committee on Green Growth and has been instituted ""in order to have the Committee deliberate on the State’s major policies and plans related to low carbon, green growth..."" Article 15 spells out its functions.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",2010,2010,2050,Unknown,"Mitigation, Adaptation",http://extwprlegs1.fao.org/docs/pdf/kor100522.pdf,,{{{Comments}}},"GHG emissions reduction (%)",27,2005,2020
211000060,KOR,Annual,"4th National Basic Plan for New and Renewable Energies Republic of Korea (2014)","4th National Basic Plan for New and Renewable Energies",Country,,"Republic of Korea",,,"Strategic planning, Renewable energy target, Political & non-binding renewable energy target","General, Electricity and heat","The 4th Basic plan for NRE clarifies the details fo the 2nd Energy Master Plan
A new and renewables target of 5.0% in the primary energy supply by 2020 and 11% by 2035. The generation target is to achieve 13.4% of total power generation with NRE sources by 2035, with a focus on solar and wind energy, while scaling down waste energy.
Target
- 11% new and renewable target of total TPES by 2035
 'new energy' includes hydrogen, fuelcell, coal to liquid (CTL), and coal to gas (IGCC).
 'renewable energy' includes solar, wind, hydro, ocean(tide), geothermal, bioenergy, and waste
- 13.4 % renewable electricity share by 2035","Energy service demand reduction and resource efficiency, Energy efficiency",,"In force",2014,2014,2035,unclear,"Mitigation, Adaptation",https://eneken.ieej.or.jp/data/5842.pdf,,"Additional to 2nd Energy Master Plan is the new and renewable electricity (NRE) target","Share of renewables (%)",11,,2035
211001881,KOR,Annual,"NRE mandatory use for public buildings Republic of Korea (2004)","NRE mandatory use for public buildings",Country,,"Republic of Korea",,,"Policy support, Building codes and standards, Obligation schemes","Buildings, Electricity and heat, Renewables, Construction",,Renewables,,"In force",2004,,,Unknown,Mitigation,https://unfccc.int/sites/default/files/2nd_biennial_update_report_republic_of_korea_eng.pdf,,,,,,
211001867,KOR,Annual,"Motorcycle emissions standards Republic of Korea (2006)","Motorcycle emissions standards",Country,,"Republic of Korea",,,"Vehicle fuel-economy and emissions standards","Transport, Light-duty vehicles",,"Non-energy use",,"In force",2006,,,Unknown,"Air pollution",http://transportpolicy.net/index.php?title=South_Korea:_Motorcycles:_Emissions,,,,,,
211002931,KOR,Annual,"Transit Master Plan Republic of Korea (2012)","Transit Master Plan",Country,,"Republic of Korea",,,"Infrastructure investments, Strategic planning",Transport,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch",,Ended,2012,2012,2016,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/kornc3.pdf,,,,,,
211000644,KOR,Annual,"Development and Distribution Plan for Electric Vehicles Republic of Korea (2011)","Development and Distribution Plan for Electric Vehicles",Country,,"Republic of Korea",,,"Obligation schemes, Other mandatory requirements, Target","Transport, Low-emissions mobility","To be one of the ‘big four electromobile countries' with the plan to supply 1 million electric cars by 2020. ""The target organizations are supposed to set up the annual reduction target between 2011 and 2015 with more than 20% of reduction compared to the standard emission amount (annual average value of ‘07 ~ ’09) by 2015 and should meet this target. However, the goal later than 2016 will be readjusted with a proper level by reviewing the BAU by each area and reduction goal etc."" (Environmental review 2013, Korea, Ecorea). New target: cumulative sales of 0.2 million electric cars by 2020 (lowered from the original target of 1 million sales), cumulative installation of 1,400 fast charging stations by 2020
Target
- 200,000 (hybrid) electric cars sold between 2010 and 2020","Other low-carbon technologies and fuel switch",,Ended,2011,2011,2020,High,Mitigation,eng.me.go.kr/eng/file/readDownloadFile.do?fileId=97309&fileSeq=1,,,,,,
220205783,KOR,Annual,"Act on the Management and Improvement of Carbon Sink Republic of Korea (2012)","Act on the Management and Improvement of Carbon Sink",Country,,"Republic of Korea",,,"Policy support, Strategic planning","Agriculture and forestry, Forestry","The purpose of this Act is to respond to climate change by managing and improving the role of forests as carbon sinks pursuant to Article 55 of the Framework Act on Low Carbon, Green Growth and to contribute to the realization of a low carbon society.","Non-energy use",,"In force",2012,,,,Mitigation,https://climate-laws.org/geographies/south-korea/laws/act-on-the-management-and-improvement-of-carbon-sink,01/01/2022,,,,,
211000105,KOR,Annual,"Act on the promotion of Development and Distribution of Environmentally Friendly Automobiles Republic of Korea (2004)","Act on the promotion of Development and Distribution of Environmentally Friendly Automobiles",Country,,"Republic of Korea",,,"Fiscal or financial incentives, Technology deployment and diffusion","Transport, Light-duty vehicles, Heavy-duty vehicles, Low-emissions mobility",Legislative,"Renewables, Energy efficiency, Non-energy use, Other low-carbon technologies and fuel switch",,"In force",2004,,,Unknown,Mitigation,http://faolex.fao.org/docs/pdf/kor158173.pdf,,,,,,
211003281,KOR,Annual,"3rd Energy Basic Plan Draft Republic of Korea (2019)","3rd Energy Basic Plan Draft",Country,,"Republic of Korea",,,"Renewable energy target",General,"Draft plan that would increase the target for renewables to reach 35% by 2040.",Renewables,,"In force",2019,,2040,Unknown,Mitigation,https://www.reuters.com/article/us-southkorea-energy-idUSKCN1RV06P,,"Energy efficiency target (Mtoe), Share of renewables (%), Energy efficiency improvement target (%)","Energy efficiency improvement target (%), Share of renewables (%), Energy efficiency improvement target (%)","39.2, 32.5, 18.5","0, , 0","2040, 2040, 2040"
